,Actuals,0
0,6.1,5.8447104
1,5.25,6.074235
2,4.45,6.3746886
3,5.85,6.580572
4,9.2,7.503951
5,8.35,9.429372
6,11.1,8.746209
7,11.15,10.714538
8,15.3,9.3878765
9,11.4,10.992261
10,5.0,7.7174597
11,5.25,5.590161
12,4.45,6.3845077
13,7.5,6.627718
14,11.4,8.962916
15,14.45,11.179475
16,4.75,12.727719
17,-1.15,4.290225
18,2.75,4.306242
19,4.7,5.205914
20,4.199999999999998,5.9847383
21,6.949999999999998,7.1029396
22,10.55,9.170143
23,14.75,11.906655
24,13.9,13.786905
25,13.6,12.350429
26,10.25,13.349635
27,11.35,10.429196
28,9.75,11.969599
29,10.25,9.9781065
30,8.9,11.104752
31,11.65,10.295071
32,15.0,13.082634
33,15.3,16.079731
34,13.6,15.649047
35,6.95,13.167351
36,13.05,9.28706
37,14.45,13.583014
38,15.85,12.9483385
39,4.45,14.1939745
40,7.75,6.0168343
41,4.15,8.715538
42,7.2,4.9699254
43,6.4,10.146973
44,8.049999999999999,7.688837
45,12.75,11.212764
46,18.05,12.263238
47,8.6,14.667884
48,6.4,7.461747
49,10.85,8.000634
50,13.6,10.902107
51,8.05,12.322312
52,8.35,7.942543
53,8.05,8.954527
54,13.9,9.4308815
55,10.8,13.124272
56,6.65,9.070429
57,6.949999999999998,8.427405
58,11.65,8.943904
59,13.6,12.553383
60,14.45,12.739101
61,12.5,14.124231
62,16.4,11.995914
63,15.0,14.603552
64,15.85,13.12011
65,22.8,14.556843
66,25.85,21.129517
67,25.0,24.593935
68,26.95,23.525118
69,28.05,24.833687
70,18.1,25.243227
71,17.2,15.889035
72,17.25,15.385653
73,17.5,15.05981
74,18.05,16.359304
75,15.0,16.368906
76,15.85,14.744199
77,18.05,16.07804
78,21.1,17.654219
79,12.75,19.40773
80,9.2,12.189651
81,11.7,11.265922
82,12.5,12.6884165
83,14.15,13.961331
84,19.75,15.659078
85,19.45,20.137774
86,19.7,17.639755
87,16.65,18.229727
88,16.65,15.979688
89,15.0,17.03951
90,13.6,15.509694
91,15.3,15.365807
92,22.2,16.838562
93,26.4,22.87705
94,19.700000000000006,26.143017
95,19.15,17.95974
96,17.8,17.785604
97,12.8,17.39675
98,16.1,16.116325
99,20.85,18.050714
100,25.0,22.892172
101,28.05,25.78282
102,27.5,26.601406
103,17.5,25.156921
104,14.2,16.598541
105,13.9,15.817855
106,18.9,16.467562
107,24.7,20.631525
108,26.65,25.497683
109,19.75,26.123003
110,20.0,18.15648
111,22.5,18.68487
112,23.35,21.015501
113,24.75,22.36959
114,24.15,24.17026
115,23.85,22.36461
116,26.1,22.99522
117,27.200000000000006,24.95324
118,25.85,25.962929
119,23.05,24.152792
120,21.1,21.844957
121,21.700000000000006,20.986864
122,23.05,21.854086
123,25.0,23.021496
124,25.0,24.784521
125,25.0,24.258211
126,25.55,24.630426
127,21.950000000000006,25.229448
128,21.65,20.731916
129,20.25,21.68455
130,23.05,20.758556
131,26.7,24.30529
132,24.15,26.74746
133,23.6,23.426737
134,24.4,23.680235
135,21.950000000000006,24.386084
136,20.3,22.224003
137,22.25,21.132322
138,23.35,23.478228
139,25.6,23.914707
140,18.35,25.822504
141,21.1,19.37766
142,21.95,22.179873
143,22.25,21.887278
144,21.65,23.348629
145,22.5,22.014557
146,20.8,23.121061
147,18.9,21.022394
148,19.15,19.825735
149,20.85,20.263676
150,20.85,21.843
151,21.65,21.395166
152,21.4,22.098637
153,21.35,21.479776
154,25.55,22.065058
155,23.9,25.160913
156,23.65,22.645407
157,22.5,22.880487
158,21.9,20.989027
159,27.5,21.975674
160,27.5,24.879158
161,26.950000000000006,25.733564
162,26.35,26.418062
163,22.5,24.980286
164,20.0,20.361433
165,20.0,19.050089
166,18.9,19.908743
167,22.25,18.701155
168,24.15,22.334377
169,20.25,22.615734
170,18.35,18.78465
171,19.7,17.9713
172,18.9,19.912664
173,18.6,18.252598
174,20.3,18.994312
175,20.3,20.492067
176,23.35,19.82593
177,22.75,22.491339
178,23.05,20.721224
179,23.9,22.310968
180,22.5,22.29856
181,21.9,21.437372
182,22.200000000000006,21.385748
183,25.25,21.539904
184,25.8,23.60842
185,26.1,23.550554
186,25.85,24.210989
187,21.7,23.836895
188,15.25,19.131788
189,16.1,13.903731
190,16.95,16.78939
191,19.4,16.484108
192,23.9,19.372087
193,23.05,21.935509
194,22.2,20.656336
195,24.15,21.262592
196,22.5,22.61662
197,20.3,21.243505
198,18.6,19.760069
199,15.55,16.90374
200,15.85,14.724098
201,19.45,16.211378
202,19.45,19.302343
203,22.8,18.014977
204,19.700000000000006,21.262312
205,16.65,16.58534
206,17.8,15.915435
207,19.15,17.156136
208,13.9,18.242645
209,11.1,13.183175
210,14.15,12.084369
211,14.4,14.3897085
212,10.55,14.231912
213,13.6,10.994567
214,16.15,14.869505
215,16.700000000000006,15.217242
216,21.1,15.930757
217,18.05,19.230246
218,16.1,14.096835
219,17.5,13.888911
220,12.2,15.401816
221,8.6,11.241321
222,6.65,9.882434
223,6.1,8.341996
224,13.6,9.080897
225,15.3,13.3132105
226,16.95,13.125882
227,20.0,15.390889
228,20.55,16.685621
229,14.45,16.282001
230,11.95,11.000831
231,13.35,10.761092
232,13.9,11.858556
233,13.05,12.847371
234,17.25,11.599778
235,13.3,14.618604
236,10.3,11.210215
237,14.45,9.656564
238,17.2,13.721587
239,16.950000000000006,15.881211
240,15.85,14.728433
241,11.15,13.0332365
242,5.0,9.276686
243,6.1,5.3003583
244,10.0,8.334976
245,9.7,9.944847
246,12.25,9.3756695
247,13.35,12.490968
248,15.0,11.896117
249,9.15,12.704009
250,9.15,8.416628
251,8.850000000000003,9.337486
252,10.85,8.914212
253,12.8,11.924624
254,13.6,12.54843
255,11.35,11.844137
256,8.899999999999997,9.678963
257,8.649999999999999,8.200221
258,8.3,8.4803295
259,5.550000000000002,8.501371
260,6.1,5.818475
261,8.3,7.3112373
262,5.0,7.989789
263,3.05,4.2211466
264,3.3000000000000003,3.3383162
265,1.65,3.5039632
266,-0.5499999999999999,1.0436914
267,-0.8499999999999999,0.8095119
268,-1.1,0.34797764
269,2.2,0.6464777
270,8.05,5.6532326
271,9.2,8.459763
272,8.05,6.568535
273,6.65,5.990162
274,4.449999999999998,5.69045
275,1.9,4.7479973
276,-0.7999999999999999,1.8975394
277,-1.95,0.05329442
278,1.65,0.17427945
279,3.6,3.9728904
280,-1.95,3.1304832
281,-0.2500000000000001,-2.0814168
282,-1.4,-0.4759481
283,-0.2500000000000001,0.33568025
284,1.6999999999999995,0.87243986
285,4.45,3.0670812
286,3.6,4.347634
287,-3.35,3.848876
288,4.45,-2.1039798
289,1.95,3.2522416
290,6.949999999999998,3.4272494
291,8.35,7.50511
292,-0.2999999999999998,3.7656064
293,1.4,-1.7967565
294,-0.8499999999999999,-0.06374049
295,-2.5,-0.2428999
296,-4.15,0.111475945
297,-5.55,-4.05665
298,-2.8,-3.7037609
299,-6.1,-4.042037
300,-5.55,-6.1592264
301,-3.05,-4.9679565
302,-5.0,-3.3500016
303,-4.7,-7.6597433
304,-2.5,-3.348791
305,-2.5,-3.3483884
306,-2.5,-2.191241
307,-5.0,-1.2723231
308,-4.2,-2.8163335
309,-1.4,-1.1332738
310,-1.9,-0.1958487
311,1.65,0.20366669
312,2.2,0.9417373
313,2.75,1.9609618
314,-1.1,2.007736
315,-2.5,-1.2293508
316,3.35,-0.06816125
317,2.25,2.1903982
318,1.65,1.3589327
319,3.6,3.7696238
320,3.05,1.5031289
321,4.7,2.4912858
322,3.9,4.3500853
323,1.4,4.706345
324,2.8,1.6390142
325,0.8499999999999999,5.0376368
326,-2.5,-0.20311809
327,-1.6999999999999995,-0.18086982
328,-0.25,0.9165704
329,2.5,2.735767
330,0.0,5.0494986
331,-1.95,0.5108007
332,1.65,0.5802779
333,0.5499999999999999,2.6430519
334,0.0,2.0833333
335,7.199999999999998,3.903613
336,6.9,6.755166
337,6.35,6.890747
338,2.2,6.133708
339,-1.35,2.572319
340,-0.8000000000000003,0.577811
341,1.1,1.115881
342,4.7,3.3674269
343,3.9,6.112767
344,2.5,4.348072
345,8.3,4.2050533
346,6.65,8.570793
347,-3.35,2.2048702
348,-3.6,-3.627464
349,4.7,-0.53676796
350,5.550000000000002,4.9894514
351,5.800000000000002,4.9406657
352,2.75,5.073814
353,-1.4,1.4859228
354,-3.9,-2.471173
355,1.4,-1.0834281
356,8.35,2.3278508
357,2.2,7.0222807
358,-6.1000000000000005,-1.2468264
359,-0.8499999999999996,-3.5002697
360,-1.1,-0.5108788
361,6.15,0.99474716
362,6.699999999999998,6.9789495
363,4.4,5.5151057
364,-0.5499999999999998,3.4224396
365,-0.8000000000000003,-1.747668
366,2.5,1.9758341
367,5.550000000000002,4.4685063
368,0.5499999999999999,5.079274
369,-1.1,-1.3829706
370,-1.1,-0.37799716
371,3.05,0.43443227
372,2.2,3.775916
373,3.35,4.8844337
374,4.15,4.6482177
375,6.4,5.1492867
376,3.9,6.226555
377,5.0,3.4811096
378,7.25,6.1930866
379,8.05,6.137128
380,9.45,8.180732
381,5.550000000000002,8.209634
382,4.7,4.7399187
383,6.4,4.985233
384,8.05,6.202115
385,5.3,7.532876
386,5.55,5.1924458
387,8.9,5.883836
388,6.1,7.867689
389,2.8,7.0560274
390,0.0,4.409109
391,0.2999999999999998,1.6591179
392,4.15,1.7761567
393,5.0,2.5704563
394,4.449999999999998,4.1615787
395,5.800000000000002,5.16556
396,4.699999999999998,6.4481306
397,6.1,5.3152485
398,7.800000000000002,7.2851076
399,7.75,7.4467936
400,11.4,8.805876
401,10.25,11.519941
402,9.15,8.685925
403,6.1,8.505574
404,16.400000000000002,7.9928207
405,12.8,12.80548
406,9.2,9.566289
407,10.25,10.907419
408,16.7,13.062438
409,13.6,14.752578
410,14.45,11.731033
411,12.2,12.710154
412,8.9,10.669253
413,7.75,9.524477
414,6.95,9.553893
415,12.5,10.123631
416,15.55,13.461062
417,20.85,16.702877
418,20.85,21.542269
419,20.85,16.079351
420,10.55,16.113356
421,12.75,10.198728
422,15.0,12.606235
423,13.6,12.213734
424,12.8,12.73532
425,17.5,13.351913
426,23.9,17.800175
427,25.55,24.12419
428,26.1,25.257772
429,27.5,24.882998
430,20.85,25.185778
431,13.6,16.449238
432,11.65,12.926724
433,13.6,11.845469
434,17.75,14.341981
435,21.7,17.192068
436,23.6,20.056654
437,22.2,21.257805
438,16.4,17.655107
439,15.3,14.761094
440,16.4,15.033999
441,14.2,15.924676
442,14.45,14.246404
