DATE,PRCP,SNOW,TMAX,TMIN,AVG_Temp
1/1/2000,0,0,10,1.1,5.55
1/2/2000,0,0,15.6,6.1,10.85
1/3/2000,0,0,17.8,10.6,14.2
1/4/2000,17.8,0,15.6,7.8,11.7
1/5/2000,0,0,8.3,-1.7,3.3
1/6/2000,0,0,5.6,-2.2,1.7
1/7/2000,0,0,9.4,1.7,5.55
1/8/2000,0,0,3.3,-1.1,1.1
1/9/2000,0.5,0,10.6,2.8,6.7
1/10/2000,21.3,0,14.4,6.7,10.55
1/11/2000,0,0,11.1,4.4,7.75
1/12/2000,0,0,8.3,3.9,6.1
1/13/2000,1.3,0,3.9,-7.8,-1.95
1/14/2000,0,0,-5.6,-10.6,-8.1
1/15/2000,0,0,-1.1,-8.3,-4.7
1/16/2000,0,0,7.8,-6.1,0.85
1/17/2000,0,0,-6.1,-13.9,-10
1/18/2000,0,0,-7.2,-16.1,-11.65
1/19/2000,0,0,-1.7,-12.2,-6.95
1/20/2000,3,64,-2.2,-5,-3.6
1/21/2000,0,0,-5,-12.2,-8.6
1/22/2000,0,0,-6.7,-13.3,-10
1/23/2000,0,0,-2.8,-7.8,-5.3
1/24/2000,0,0,3.3,-3.3,0
1/25/2000,18.5,140,-1.1,-3.9,-2.5
1/26/2000,0.5,0,-0.6,-5.6,-3.1
1/27/2000,0,0,-5.6,-11.1,-8.35
1/28/2000,0,0,-5.6,-12.8,-9.2
1/29/2000,0,0,1.7,-8.3,-3.3
1/30/2000,9.9,38,2.2,-6.1,-1.95
1/31/2000,9.1,0,3.3,-1.7,0.8
2/1/2000,0,0,1.7,-3.3,-0.8
2/2/2000,0,0,-1.7,-6.1,-3.9
2/3/2000,2.5,56,0.6,-6.1,-2.75
2/4/2000,0,0,0,-2.8,-1.4
2/5/2000,0,0,2.2,-3.3,-0.55
2/6/2000,0,0,2.8,-2.2,0.3
2/7/2000,0,0,6.1,-2.2,1.95
2/8/2000,0,0,-0.6,-7.2,-3.9
2/9/2000,0,0,7.2,-3.3,1.95
2/10/2000,0,0,8.9,2.8,5.85
2/11/2000,0,0,10.6,-1.7,4.45
2/12/2000,0,0,0.6,-5,-2.2
2/13/2000,3.3,0,5,-3.9,0.55
2/14/2000,9.4,0,12.2,3.3,7.75
2/15/2000,0,0,5,0,2.5
2/16/2000,0,0,11.1,0.6,5.85
2/17/2000,0,0,3.9,-3.3,0.3
2/18/2000,14.5,76,1.7,-2.2,-0.25
2/19/2000,6.1,0,0,-1.7,-0.85
2/20/2000,0,0,3.3,-1.1,1.1
2/21/2000,0,0,5.6,-1.1,2.25
2/22/2000,0,0,10.6,1.1,5.85
2/23/2000,0,0,13.3,2.8,8.05
2/24/2000,0,0,17.8,8.3,13.05
2/25/2000,3,0,15,4.4,9.7
2/26/2000,0,0,6.7,3.9,5.3
2/27/2000,0.8,0,13.3,5,9.15
2/28/2000,2.5,0,13.3,4.4,8.85
2/29/2000,0,0,12.2,1.7,6.95
3/1/2000,0.5,0,9.4,2.8,6.1
3/2/2000,0,0,8.3,2.2,5.25
3/3/2000,0,0,7.8,1.1,4.45
3/4/2000,0,0,11.1,0.6,5.85
3/5/2000,0,0,12.8,5.6,9.2
3/6/2000,0,0,12.8,3.9,8.35
3/7/2000,0.3,0,18.3,3.9,11.1
3/8/2000,0.3,0,16.7,5.6,11.15
3/9/2000,0,0,21.7,8.9,15.3
3/10/2000,0,0,16.1,6.7,11.4
3/11/2000,28.2,0,6.7,3.3,5
3/12/2000,4.6,0,9.4,1.1,5.25
3/13/2000,0,0,8.9,0,4.45
3/14/2000,0,0,11.7,3.3,7.5
3/15/2000,0,0,17.2,5.6,11.4
3/16/2000,7.6,0,18.3,10.6,14.45
3/17/2000,17.5,10,11.7,-2.2,4.75
3/18/2000,0,0,3.3,-5.6,-1.15
3/19/2000,0,0,6.1,-0.6,2.75
3/20/2000,0,0,8.3,1.1,4.7
3/21/2000,0,0,5.6,2.8,4.2
3/22/2000,0,0,10.6,3.3,6.95
3/23/2000,0,0,17.8,3.3,10.55
3/24/2000,0,0,20.6,8.9,14.75
3/25/2000,2,0,17.8,10,13.9
3/26/2000,0.3,0,17.2,10,13.6
3/27/2000,0,0,14.4,6.1,10.25
3/28/2000,23.6,0,14.4,8.3,11.35
3/29/2000,0,0,12.8,6.7,9.75
3/30/2000,0,0,14.4,6.1,10.25
3/31/2000,0,0,13.9,3.9,8.9
4/1/2000,0,0,18.3,5,11.65
4/2/2000,0,0,19.4,10.6,15
4/3/2000,0,0,17.8,12.8,15.3
4/4/2000,9.9,0,18.3,8.9,13.6
4/5/2000,0,0,8.9,5,6.95
4/6/2000,0,0,21.7,4.4,13.05
4/7/2000,0,0,17.8,11.1,14.45
4/8/2000,0,0,21.7,10,15.85
4/9/2000,9.4,30,10,-1.1,4.45
4/10/2000,0,0,12.2,3.3,7.75
4/11/2000,4.1,0,6.1,2.2,4.15
4/12/2000,0,0,10,4.4,7.2
4/13/2000,0,0,11.1,1.7,6.4
4/14/2000,0,0,12.2,3.9,8.05
4/15/2000,3.8,0,16.1,9.4,12.75
4/16/2000,6.4,0,23.9,12.2,18.05
4/17/2000,9.1,0,12.2,5,8.6
4/18/2000,0.8,0,8.9,3.9,6.4
