"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1958-01","1958","01","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1958-02","1958","02","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1958-03","1958","03","","","","","","","","","","","12.2","","0.3","","12.4","","0","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1958-04","1958","04","","","","","","","","","","","36.3","","0.0","T","36.3","","0","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1958-05","1958","05","","","","","","","","","","","29.2","","0.0","","29.2","","0","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1958-06","1958","06","","","","","","","","","","","44.7","","0.0","","44.7","","0","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1958-07","1958","07","","","","","","","","","","","62.7","","0.0","","62.7","","0","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1958-08","1958","08","","","","","","","","","","","116.8","","0.0","","116.8","","0","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1958-09","1958","09","","","","","","","","","","","103.1","","0.0","","103.1","","0","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1958-10","1958","10","","","","","","","","","","","45.2","","0.0","","45.2","","0","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1958-11","1958","11","","","","","","","","","","","62.2","","13.5","","75.7","","5","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1958-12","1958","12","","","","","","","","","","","0.5","","","M","","M","0","T","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1959-01","1959","01","","","","","","","","","","","47.8","","20.8","","68.6","","3","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1959-02","1959","02","","","","","","","","","","","41.4","","10.4","","51.8","","5","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1959-03","1959","03","","","","","","","","","","","35.1","","13.7","","48.8","","3","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1959-04","1959","04","","","","","","","","","","","71.9","","0.0","","71.9","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1959-05","1959","05","","","","","","","","","","","27.4","","0.0","","27.4","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1959-06","1959","06","","","","","","","","","","","14.0","","0.0","","14.0","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1959-07","1959","07","","","","","","","","","","","22.1","","0.0","","22.1","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1959-08","1959","08","","","","","","","","","","","20.3","","0.0","","20.3","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1959-09","1959","09","","","","","","","","","","","102.4","","0.0","","102.4","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1959-10","1959","10","","","","","","","","","","","75.4","","0.0","","75.4","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1959-11","1959","11","","","","","","","","","","","51.8","","7.6","","59.4","","3","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1959-12","1959","12","","","","","","","","","","","93.0","","10.2","","103.1","","10","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1960-01","1960","01","","","","","","","","","","","26.4","","","M","","M","5","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1960-02","1960","02","","","","","","","","","","","42.2","","","M","","M","8","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1960-03","1960","03","","","","","","","","","","","17.8","","32.5","","50.3","","0","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1960-04","1960","04","","","","","","","","","","","79.5","","0.0","","79.5","","0","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1960-05","1960","05","","","","","","","","","","","133.6","","0.0","","133.6","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1960-06","1960","06","","","","","","","","","","","58.2","","0.0","","58.2","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1960-07","1960","07","","","","","","","","","","","78.7","","0.0","","78.7","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1960-08","1960","08","","","","","","","","","","","34.0","","0.0","","34.0","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1960-09","1960","09","","","","","","","","","","","6.6","","0.0","","6.6","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1960-10","1960","10","","","","","","","","","","","57.4","","0.0","","57.4","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1960-11","1960","11","","","","","","","","","","","43.9","","0.0","","43.9","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1960-12","1960","12","","","","","","","","","","","8.4","","15.2","","23.6","","3","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1961-01","1961","01","","","","","","","","","","","0.0","T","","M","","M","3","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1961-02","1961","02","","","","","","","","","","","","M","15.2","","","M","0","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1961-03","1961","03","","","","","","","","","","","","M","7.6","","","M","3","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1961-04","1961","04","","","","","","","","","","","59.7","","0.0","T","59.7","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1961-05","1961","05","","","","","","","","","","","69.6","","0.0","T","69.6","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1961-06","1961","06","","","","","","","","","","","90.9","","0.0","","90.9","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1961-07","1961","07","","","","","","","","","","","110.7","","0.0","","110.7","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1961-08","1961","08","","","","","","","","","","","62.5","","0.0","","62.5","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1961-09","1961","09","","","","","","","","","","","33.8","","0.0","","33.8","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1961-10","1961","10","","","","","","","","","","","10.9","","0.0","","10.9","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1961-11","1961","11","","","","","","","","","","","47.0","","0.0","T","47.0","","0","","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1961-12","1961","12","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1962-01","1962","01","","","","","","","","","","","26.9","","36.3","","63.2","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1962-02","1962","02","","","","","","","","","","","15.2","","","M","","M","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1962-03","1962","03","","","","","","","","","","","4.8","","0.0","","4.8","","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1962-04","1962","04","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-79.32","43.67","TORONTO ASHBRIDGES BAY","6158370","1962-05","1962","05","","","","","","","","","","","","M","","M","","M","","M","","","",""
